Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR18280823,RNA-Seq,202,2943997288,PRJNA814290,SAMN26543041,1002812089,Monocytes CD14+,UNIVERSITÉ LIBRE DE BRUXELLES,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",Covid19: Recovery 6Mo,SRX14418670,Illumina NovaSeq 6000,GSM5942372,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-01T00:00:00Z,2022-03-12T17:23:00Z,1,GSM5942372,PBMC,SRP363224
SRR18280824,RNA-Seq,202,3390709986,PRJNA814290,SAMN26543042,1153984283,Monocytes CD14+,UNIVERSITÉ LIBRE DE BRUXELLES,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Covid19: Recovery 6Mo,SRX14418669,Illumina NovaSeq 6000,GSM5942371,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-01T00:00:00Z,2022-03-11T19:40:00Z,1,GSM5942371,PBMC,SRP363224
SRR18280827,RNA-Seq,202,5419158434,PRJNA814290,SAMN26543045,1831054665,Monocytes CD14+,UNIVERSITÉ LIBRE DE BRUXELLES,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Covid19: Recovery 6Mo,SRX14418666,Illumina NovaSeq 6000,GSM5942368,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-01T00:00:00Z,2022-03-13T20:49:00Z,1,GSM5942368,PBMC,SRP363224
SRR18280828,RNA-Seq,202,3867600272,PRJNA814290,SAMN26543046,1316057393,Monocytes CD14+,UNIVERSITÉ LIBRE DE BRUXELLES,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Covid19: Recovery 6Mo,SRX14418665,Illumina NovaSeq 6000,GSM5942367,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-01T00:00:00Z,2022-03-11T19:41:00Z,1,GSM5942367,PBMC,SRP363224
SRR18280831,RNA-Seq,202,3533960104,PRJNA814290,SAMN26543049,1200161679,Monocytes CD14+,UNIVERSITÉ LIBRE DE BRUXELLES,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Covid19: Recovery 6Mo,SRX14418662,Illumina NovaSeq 6000,GSM5942364,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-01T00:00:00Z,2022-03-11T19:41:00Z,1,GSM5942364,PBMC,SRP363224
SRR18280834,RNA-Seq,202,5876334126,PRJNA814290,SAMN26543052,1982061818,Monocytes CD14+,UNIVERSITÉ LIBRE DE BRUXELLES,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Covid19: Recovery 3Mo,SRX14418659,Illumina NovaSeq 6000,GSM5942361,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-01T00:00:00Z,2022-03-13T20:34:00Z,1,GSM5942361,PBMC,SRP363224
SRR18280835,RNA-Seq,202,8010465540,PRJNA814290,SAMN26543053,2708350820,Monocytes CD14+,UNIVERSITÉ LIBRE DE BRUXELLES,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Covid19: Recovery 3Mo,SRX14418658,Illumina NovaSeq 6000,GSM5942360,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-01T00:00:00Z,2022-03-13T20:33:00Z,1,GSM5942360,PBMC,SRP363224
SRR18280836,RNA-Seq,202,3923653656,PRJNA814290,SAMN26543054,1324889209,Monocytes CD14+,UNIVERSITÉ LIBRE DE BRUXELLES,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",Covid19: Recovery 3Mo,SRX14418657,Illumina NovaSeq 6000,GSM5942359,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-01T00:00:00Z,2022-03-12T17:12:00Z,1,GSM5942359,PBMC,SRP363224
SRR18280838,RNA-Seq,202,5349422580,PRJNA814290,SAMN26543056,1813020551,Monocytes CD14+,UNIVERSITÉ LIBRE DE BRUXELLES,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Covid19: Recovery 3Mo,SRX14418655,Illumina NovaSeq 6000,GSM5942357,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-01T00:00:00Z,2022-03-13T22:38:00Z,1,GSM5942357,PBMC,SRP363224
SRR18280839,RNA-Seq,202,7014897632,PRJNA814290,SAMN26543057,2371807433,Monocytes CD14+,UNIVERSITÉ LIBRE DE BRUXELLES,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Covid19: Acute infection,SRX14418654,Illumina NovaSeq 6000,GSM5942356,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-01T00:00:00Z,2022-03-13T20:37:00Z,1,GSM5942356,PBMC,SRP363224
