"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_RIBOSOME","KEGG_RIBOSOME",85,-0.592473233854641,-4.59569603401523,1.14994663213482e-24,1.44893275648987e-22,7.62596187626246e-23,4221,"tags=81%, list=26%, signal=61%","200916/6155/6159/51121/6168/6142/6133/28998/11224/6222/6122/6193/6181/6167/6139/6202/51065/6188/6134/6218/7311/6160/6191/6209/2197/9349/6206/6132/6235/6217/6124/6233/6129/6165/51187/6176/6157/6171/6125/6135/6136/6231/6161/9045/6201/6229/4736/6204/6147/6234/6194/6170/6227/6223/6207/6232/6230/6205/6143/6152/6141/6137/6169/6228/6158/6156/6130/6189/6128"
"KEGG_OXIDATIVE_PHOSPHORYLATION","KEGG_OXIDATIVE_PHOSPHORYLATION",114,-0.453265186434922,-3.83659946413373,2.8509604253373e-17,1.7961050679625e-15,9.45318456822367e-16,4177,"tags=66%, list=25%, signal=49%","1353/9551/9296/4722/1355/4713/7381/521/4696/4726/4718/51606/7388/4720/1349/523/23545/245973/4706/517/7385/27089/529/5464/4537/4695/4700/10063/51382/6391/528/4519/4716/4698/10632/4714/29796/522/126328/4704/4729/4731/4508/4719/27068/1340/7386/4711/9167/10476/10975/1329/4536/1345/4509/4705/1347/4697/4540/6390/1337/514/539/526/1350/509/8992/9550/515/4541/4512/4538/1327/4535/4539"
"KEGG_SPLICEOSOME","KEGG_SPLICEOSOME",126,-0.405146347057988,-3.51166474410176,6.38655817450958e-14,2.68235443329402e-12,1.41176549120738e-12,4222,"tags=60%, list=26%, signal=45%","8449/26121/6634/22827/51690/27258/4809/153527/3312/25949/23350/11157/84950/9410/9984/4116/57461/5356/10907/6631/51691/84844/11017/6633/8683/9092/6632/8896/10569/56259/10084/9128/10189/51639/1659/6629/9785/10713/51503/6635/8559/22916/51340/56949/151903/22985/7307/51362/6430/10915/6628/10772/23450/10291/6625/10946/4686/9939/10992/24148/51729/3190/55696/6427/6434/9343/29896/3178/27316/6426/6431/10594/23020/3183/5093/6428"
"KEGG_PARKINSONS_DISEASE","KEGG_PARKINSONS_DISEASE",109,-0.419254703672169,-3.49494175535805,2.7503518641087e-13,8.66360837194239e-12,4.55979387996968e-12,3649,"tags=59%, list=22%, signal=46%","7381/4696/4726/4718/7388/317/4720/1349/7317/7419/836/4706/517/7385/27089/4537/4695/4700/6391/4519/4716/4698/4714/29796/522/4704/4729/4731/9246/4508/4719/118424/1340/7386/4711/9167/10476/10975/1329/4536/1345/7318/7327/4509/4705/11315/7314/1347/4697/4540/6390/1337/514/539/1350/509/515/51465/4541/4512/4538/1327/4535/4539"
"KEGG_HUNTINGTONS_DISEASE","KEGG_HUNTINGTONS_DISEASE",155,-0.299386160422047,-2.7195716290766,1.07412578693743e-08,2.70679698308233e-07,1.42462999109596e-07,5862,"tags=60%, list=36%, signal=39%","4702/4513/4514/161/4724/9519/4708/160/5481/3066/10488/4709/6389/8218/7417/2876/5468/5435/4710/55081/5432/9586/4722/4713/4899/7381/1639/4696/4726/4718/7388/5440/581/317/4720/1349/1173/1385/7419/3065/836/4706/517/7385/27089/4695/4700/6874/3092/25981/64764/6391/4519/1211/4716/841/4698/5431/4714/29796/522/4704/4729/4731/4508/4719/1340/7386/4711/3064/9167/10476/10540/10975/1329/1345/4509/4705/6667/1347/4697/6390/1337/514/539/5430/1350/509/163/515/4512/1327/6648"
"KEGG_PROTEASOME","KEGG_PROTEASOME",41,-0.491055238254291,-3.00373185161329,3.46758427067456e-08,7.28192696841657e-07,3.83259314127188e-07,4777,"tags=73%, list=29%, signal=52%","10197/23198/5710/10213/5714/5683/5702/5713/5694/5705/5720/5704/5684/5721/5689/5700/5686/5717/5685/5690/5707/5701/5692/5695/5719/5682/5687/9861/5708/5691"
"KEGG_ALZHEIMERS_DISEASE","KEGG_ALZHEIMERS_DISEASE",139,-0.299615367996262,-2.64460008368934,9.20525382126399e-08,1.65694568782752e-06,8.72076677803957e-07,3810,"tags=47%, list=23%, signal=36%","4713/23621/7381/4696/4726/4718/3416/7388/317/4720/1349/637/836/4706/517/5533/7385/27089/4695/4700/23385/6391/4519/4716/841/4698/4714/29796/522/4704/351/4729/4731/4508/4719/9451/1340/7386/4711/9167/10476/10975/2932/1329/1345/4509/4705/5532/801/1347/4697/5594/6390/1337/514/539/1350/7132/509/515/488/4512/824/1327/805"
"KEGG_ENDOCYTOSIS","KEGG_ENDOCYTOSIS",153,-0.26866482583231,-2.43166472269283,2.83096435923781e-06,4.45876886579954e-05,2.34672045568397e-05,6621,"tags=61%, list=40%, signal=37%","116986/1601/408/116983/84313/5584/11267/10938/23396/3310/64411/161/5337/29924/60682/4734/160/9146/8395/5878/8218/57154/5868/56904/10254/1785/23327/868/9744/2870/23096/1234/7852/3312/3480/89853/30844/51028/64744/1173/51100/55048/27243/9815/5867/11311/27183/64145/137492/6455/6714/10617/7189/4193/8027/25978/1211/998/29082/57132/8394/51534/51652/409/84440/10193/116984/5869/79720/1436/7251/84364/23550/57403/10059/867/3949/26286/7037/3134/8766/163/3106/80223/382/3105/128866/30011/3107/116985/11031/9922/3133"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",59,-0.377707179802056,-2.62356754325566,4.20645092265863e-06,5.88903129172208e-05,3.09949015353794e-05,2238,"tags=46%, list=14%, signal=40%","3127/920/5720/4802/3123/5721/3326/1520/10437/5993/567/6891/3109/4800/6890/3134/811/3122/3106/821/3105/2923/3115/3107/3320/3133/1508"
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",105,-0.306199821240251,-2.51632323725201,6.68836023477087e-06,8.42733389581129e-05,4.43543889253226e-05,3467,"tags=44%, list=21%, signal=35%","11108/3551/5908/581/10000/5295/5296/5580/4794/2309/5607/387/5598/7189/7532/9261/10818/998/7529/3654/397/25/7533/1432/5879/5170/51135/2932/817/5293/10019/801/5594/5604/468/8767/8660/1399/4893/5894/5906/23533/2889/7531/7534/805"
