Gene start (bp)	Gene end (bp)	Gene % GC content	Chromosome/scaffold name	Gene name	NCBI gene (formerly Entrezgene) ID
3307	4262	47.70	MT	MT-ND1	4535
4470	5511	42.99	MT	MT-ND2	4536
5904	7445	46.24	MT	MT-CO1	4512
7446	7514	49.28	MT	MT-TS1	113219467
7586	8269	46.20	MT	MT-CO2	4513
8366	8572	39.61	MT	MT-ATP8	4509
8527	9207	44.20	MT	MT-ATP6	4508
9207	9990	46.56	MT	MT-CO3	4514
10059	10404	40.17	MT	MT-ND3	4537
10470	10766	43.10	MT	MT-ND4L	4539
10760	12137	44.27	MT	MT-ND4	4538
12337	14148	44.92	MT	MT-ND5	4540
14149	14673	42.67	MT	MT-ND6	4541
14747	15887	46.28	MT	MT-CYB	4519
108007	139659	36.73	GL000213.1		100288966
53594	115055	45.64	GL000194.1	MAFIP	727764
112025	112177	57.52	GL000220.1	RNA5-8SN5	100008587
42939	49164	37.57	GL000195.1		389831
41444	41876	57.27	KI270726.1		102723407
17234	19833	49.00	KI270728.1		102723655
933862	936467	49.00	KI270728.1		102723713
128877	129029	57.52	KI270733.1	RNA5-8SN4	109864274
125237	131153	51.41	HG1309_PATCH	LINC03014	100507642
150608	151701	56.58	HG1309_PATCH		105375115
168259	235989	59.41	HG1309_PATCH	FAM20C	56975
39089	52538	51.16	HG1395_PATCH	ECSCR	641700
60573	64567	55.27	HG1395_PATCH	SMIM33	111064649
65328	72730	53.56	HG1395_PATCH	STING1	340061
458991	460328	40.21	HG1485_PATCH	ACTR3BP6	440888
7154	8071	48.15	HG151_NOVEL_TEST	OR9G1	390174
60669	61653	45.18	HG151_NOVEL_TEST	OR9G4	283189
166410	189093	37.53	HG151_NOVEL_TEST	LINC02735	101927120
7803996	7810683	41.16	Y	TTTY12	83867
9706824	9715262	47.38	Y	TTTY7B	100101120
22439593	22441458	47.43	Y	TTTY6	84672
9910798	9911962	51.07	Y	TTTY23	252955
6449468	6457906	47.39	Y	TTTY7	246122
22490397	22514637	41.46	Y	PRY	9081
9717653	9721296	45.53	Y	TTTY21	252953
12537650	12860839	38.76	Y	USP9Y	64595
12537650	12860839	38.76	Y	USP9Y	8287
18042	39335	60.38	HG1524_PATCH	GRK1	6011
50110	52688	57.19	HG1524_PATCH	LINC00552	100130386
22071756	22096007	41.48	Y	PRY2	442862
6390431	6411564	46.57	Y	TTTY1B	100101116
20575776	20593154	35.59	Y	EIF1AY	9086
22973819	23005465	42.58	Y	BPY2	9083
6470773	6473630	45.80	Y	TTTY8B	100101118
8637	43920	57.49	HG152_PATCH	TOLLIP	54472
44035	44973	60.38	HG152_PATCH	TOLLIP-DT	255512
124165	196955	63.85	HG152_PATCH	BRSK2	9024
22100814	22147484	46.54	Y		102725532
9753156	9774289	46.58	Y	TTTY1	50858
294027	312247	64.56	HG152_PATCH	DUSP8	1850
311329	339160	51.87	HG152_PATCH	KRTAP5-AS1	338651
9691100	9693957	45.80	Y	TTTY8	84673
324318	325259	64.76	HG152_PATCH	KRTAP5-1	387264
337153	338270	59.30	HG152_PATCH	KRTAP5-2	440021
347541	348439	63.29	HG152_PATCH	KRTAP5-3	387266
360934	362114	58.59	HG152_PATCH	KRTAP5-4	387267
369751	370906	62.11	HG152_PATCH	KRTAP5-5	439915
405573	407832	62.92	HG152_PATCH	FAM99A	387742
423245	425605	66.07	HG152_PATCH	FAM99B	100132464
8704472	8705283	41.38	Y	TTTY19	252952
203723	274455	55.21	HG152_PATCH	MOB2	81532
22936455	22973284	42.25	Y	TTTY4	114761
9784372	9833895	43.06	Y	TTTY22	252954
9527880	9530682	53.34	Y	TSPY10	100289087
9527880	9530682	53.34	Y	TSPY10	728137
22851584	22852715	42.67	Y	TTTY17A	474152
22851584	22852715	42.67	Y	TTTY17A	252949
22144966	22146831	47.43	Y	TTTY6B	441543
6357219	6369921	41.90	Y	LINC00280	100873964
9466955	9469749	53.42	Y	TSPY1	728403
9466955	9469749	53.42	Y	TSPY1	728137
9466955	9469749	53.42	Y	TSPY1	64591
9466955	9469749	53.42	Y	TSPY1	7258
6443434	6450685	45.82	Y	TTTY21B	100101115
22296798	22298876	50.75	Y	TTTY5	83863
22438940	22485592	46.54	Y		102725532
22438940	22485592	46.54	Y		101929148
21880076	21894526	37.00	Y	RBMY1D	378949
20464916	20575519	38.47	Y	TTTY10	246119
18731440	18773735	39.22	Y	HSFY2	159119
18581206	18590521	38.47	Y	TTTY9B	425057
18772706	19077416	38.75	Y	TTTY14	83869
197162	202114	36.89	HG1532_PATCH	TTTY20	252951
225079	227881	53.23	HG1532_PATCH	TSPY8	728403
19744756	19759978	38.05	Y		105377224
235085	303872	45.71	HG1532_PATCH	FAM197Y7	105379269
19703865	19744939	38.66	Y	KDM5D	8284
204746	207566	53.35	HG1532_PATCH	TSPY4	728395
204746	207566	53.35	HG1532_PATCH	TSPY4	7258
488788	491602	53.43	HG1532_PATCH	TSPY9	7258
460285	506463	45.70	HG1532_PATCH	FAM197Y4	100289188
214793	222683	40.49	HG1532_PATCH	FAM197Y8	105379268
18546691	18588963	39.22	Y	HSFY1	159119
18546691	18588963	39.22	Y	HSFY1	86614
3579067	3580041	51.18	Y	TGIF2LY	90655
22168542	22182982	36.92	Y	RBMY1F	378951
22168542	22182982	36.92	Y	RBMY1F	159163
18025787	18027746	44.23	Y	CDY2A	9426
25030901	25062548	42.58	Y	BPY2C	442868
25063083	25099892	42.25	Y	TTTY4C	474150
24833843	24907040	35.66	Y	DAZ4	57135
17878260	17880220	44.31	Y	CDY2B	203611
2786855	2787682	46.62	Y	SRY	6736
2841602	2932000	40.56	Y	RPS4Y1	6192
23101	24163	41.86	HG1708_PATCH	OR4C12	283093
74500	75420	43.21	HG1708_PATCH	OR4C45	403257
2935281	2982506	37.27	Y	ZFY	7544
2966844	3002626	37.66	Y	ZFY-AS1	107987337
12904108	12920478	37.70	Y	DDX3Y	8653
13234577	13480673	37.54	Y	UTY	7404
2459	2524	53.03	HG1815_PATCH	MIR3649	100500816
30718	130818	39.40	HG1815_PATCH	ADIPOR2	79602
134107	260810	50.45	HG1815_PATCH	CACNA2D4	93589
162411	178897	57.80	HG1815_PATCH	LRTM2	654429
271346	278718	54.05	HG1815_PATCH	LINC00940	100271702
288197	346679	38.72	HG1815_PATCH	DCP1B	196513
561629	565623	44.01	HG1815_PATCH	CACNA1C-AS4	100874234
1016616	1020336	48.13	HG1815_PATCH	CACNA1C-AS2	100874235
1024117	1039316	54.44	HG1815_PATCH	CACNA1C-AS1	100652846
312916	1046066	47.12	HG1815_PATCH	CACNA1C	100874369
312916	1046066	47.12	HG1815_PATCH	CACNA1C	775
13703899	13706024	42.71	Y	TMSB4Y	9087
13985772	13986473	61.97	Y	VCY	9084
24763069	24813492	36.06	Y	DAZ3	57054
23129355	23199010	35.94	Y	DAZ1	1617
6865918	6911752	41.49	Y	AMELY	266
6910686	7101970	43.32	Y	TBL1Y	90665
23219447	23291356	35.43	Y	DAZ2	57055
6246223	6249019	53.20	Y	TSPY2	64591
14793642	14804033	33.48	Y	NLGN4Y-AS1	100874056
21903618	21918042	36.96	Y	RBMY1E	378950
14522573	14845654	38.63	Y	NLGN4Y	22829
12538	26373	43.14	HG1832_PATCH	SERTAD4	56256
107994	459395	42.29	HG1832_PATCH	HHAT	55733
3002887	3200509	36.13	Y	LINC00278	100873962
14056227	14056958	61.89	Y	VCY1B	353513
20756108	20781032	42.67	Y	RPS4Y2	140032
21565092	21605081	46.62	Y	TTTY13	83868
5000226	5742224	35.66	Y	PCDH11Y	83259
5000226	5742224	35.66	Y	PCDH11Y	27328
23936727	23941622	31.94	Y	TTTY3B	474148
24045229	24048019	41.35	Y	CDY1B	253175
24485332	24486463	42.58	Y	TTTY17B	474152
24485332	24486463	42.58	Y	TTTY17B	474151
24570202	24607025	42.24	Y	TTTY4B	474149
24607560	24639207	42.59	Y	BPY2B	442867
25482908	25486705	57.85	Y	CSPG4P1Y	114758
25728490	25733388	31.92	Y	TTTY3	114760
25622117	25624902	41.35	Y	CDY1	9085
22403410	22417881	36.95	Y	RBMY1J	378951
9487267	9490081	53.32	Y	TSPY9	7258
21511338	21525786	36.99	Y	RBMY1B	378948
21534879	21549326	36.98	Y	RBMY1A1	378949
21534879	21549326	36.98	Y	RBMY1A1	5940
9458613	9464357	40.75	Y	FAM197Y5	100289150
22308859	22316205	37.20	Y	RBMY2FP	159162
776	30736	42.65	HG1_PATCH		105370409
6242446	6243610	51.07	Y	TTTY23B	100101121
9479053	9484654	40.50	Y	FAM197Y4	100289188
8783310	8817382	38.87	Y	TTTY11	83866
239198	353533	44.12	HG1_PATCH	DHRS4-AS1	55449
6256267	6263953	39.87	Y	FAM197Y9	100132932
9497287	9505159	40.44	Y	FAM197Y3	107987341
18729882	18739197	38.47	Y	TTTY9A	83864
352987	370707	57.82	HG1_PATCH	CARMIL3	90668
17768980	17770560	34.28	Y	XKRY	9082
2752083	2854641	42.20	Y	XGY2	100132596
371815	379078	58.07	HG1_PATCH	CPNE6	9362
381085	415992	49.83	HG1_PATCH	NRL	4901
24209967	24214831	54.84	Y	GOLGA2P2Y	401634
